"CODIGOMATERIA","MATERIA","DIFICULTAD"
ELEG1031       ,CONTROLES ELÉCTRICOS INDUSTRIALES,7.15
ELEG1032       ,DISTRIBUCIÓN ELÉCTRICA I,7.50
ELEG1033       ,DISTRIBUCIÓN ELÉCTRICA II,8.41
ELEG1034       ,ELECTRICIDAD BÁSICA,6.90
ELEG1035       ,ENERGÍAS RENOVABLES,7.27
ELEG1036       ,ESTABILIDAD Y CONTROL DE SISTEMAS DE POTENCIA,7.51
ELEG1037       ,GESTIÓN Y MARCO REGULATORIO DEL SECTOR ELÉCTRICO,8.18
ELEG1038       ,INSTALACIONES ELÉCTRICAS,8.21
ELEG1039       ,LÍNEAS DE TRANSMISIÓN Y SUBESTACIONES,8.24
ELEG1040       ,MAQUINARIA ELÉCTRICA I,7.15
ELEG1041       ,MAQUINARIA ELÉCTRICA II,7.15
ELEG1042       ,MATERIA INTEGRADORA DE ELECTRICIDAD,8.75
ELEG1043       ,MÁQUINAS Y TRANSFORMADORES,6.68
ELEG1044       ,OPERACIÓN DE SISTEMAS DE POTENCIA,5.88
ELEG1046       ,PLANIFICACIÓN DE SISTEMAS DE POTENCIA,7.60
ELEG1047       ,PROTECCIONES ELÉCTRICAS,6.50
ELEG1049       ,SISTEMAS DE POTENCIA I,7.06
ELEG1050       ,SISTEMAS DE POTENCIA II,7.29
ELEG1051       ,TEORÍA ELECTROMAGNÉTICA,6.29
ELET3001       ,INSTALACIONES ELÉCTRICAS DE BAJA TENSIÓN,9.01
ELET3002       ,MEDICIONES ELÉCTRICAS,8.96
ELET3003       ,CONTROLES ELÉCTRICOS,8.34
ELET3004       ,MÁQUINAS ELÉCTRICAS,8.43
ESTG1033       ,GEOESTADISTICA,8.18
ESTG1034       ,ESTADÍSTICA,6.37
ESTG1035       ,INTRODUCCIÓN A LA ESTADÍSTICA,7.81
ESTG1036       ,ESTADÍSTICA I,6.42
ESTG1037       ,ESTADÍSTICA II,6.78
ESTG1038       ,MEDIDA Y PROBABILIDAD,5.73
ESTG1039       ,ESTADÍSTICA MATEMÁTICA,5.64
ESTG1040       ,TÉCNICAS DE MUESTREO Y ANÁLISIS MULTIVARIADO,8.26
ESTG1041       ,MUESTREO,6.25
ESTG1042       ,ESTADÍSTICA MULTIVARIANTE,7.97
ESTG1043       ,CONTROL ESTADÍSTICO DE PROCESOS,8.95
ESTG1044       ,DATOS CATEGÓRICOS,9.16
ESTG1045       ,MODELOS ESTADÍSTICOS APLICADOS I,7.15
ESTG1046       ,MODELOS ESTADÍSTICOS APLICADOS II,7.59
ESTG1047       ,ESTADÍSTICA BAYESIANA,8.28
ESTG1048       ,PROCESOS ESTOCÁSTICOS,7.70
ESTG1049       ,INGENIERÍA DE DATOS,8.30
ESTG1050       ,DISEÑO DE EXPERIMENTOS,8.49
ESTG1051       ,SERIES DE TIEMPO,8.47
ESTG1052       ,ESTADÍSTICA COMPUTACIONAL,7.42
ESTG1054       ,MÉTODOS ROBUSTOS Y NO PARAMÉTRICOS,7.36
ESTG1055       ,APRENDIZAJE ESTADÍSTICO,7.91
ESTG1056       ,DATOS NO ESTRUCTURADOS,8.02
ESTG1057       ,SIMULACIÓN MATEMÁTICA,7.12
ESTG1062       ,MATERIA INTEGRADORA DE ESTADÍSTICA,9.58
ESTG1063       ,BIOESTADÍSTICA,8.11
ESTG2004       ,ESTADÍSTICA,6.55
ESTT3002       ,METROLOGÍA,8.85
