"CODIGOMATERIA","MATERIA","REPROBADOS","REGISTRADOS","TASA_RP"
NUTG2037       ,NUTRICIÓN EN EL CICLO DE LA VIDA II,7,308,2.27
NUTG2038       ,TENDENCIAS EN NUTRICIÓN,3,238,1.26
NUTG2039       ,SERVICIOS DE ALIMENTACIÓN,26,283,9.19
NUTG2040       ,TOXICOLOGÍA NUTRICIONAL Y ALIMENTARIA,2,240,0.83
NUTG2041       ,NUTRICIÓN HUMANA Y METABOLISMO,9,317,2.84
NUTG2042       ,TÉCNICAS DIETÉTICAS,31,340,9.12
NUTG2043       ,TÉCNICAS CULINARIAS,84,648,12.96
OCEG1028       ,ANÁLISIS DE INFORMACIÓN OCEANOGRÁFICA,1,61,1.64
OCEG1029       ,BIOGEOQUÍMICA MARINA,0,49,0.00
OCEG1030       ,CLIMATOLOGÍA Y METEOROLOGÍA,4,53,7.55
OCEG1031       ,CONSTRUCCIÓN DE OBRAS PORTUARIAS,0,80,0.00
OCEG1032       ,CONTAMINACIÓN MARINA,0,48,0.00
OCEG1033       ,DIMENSIONAMIENTO PORTUARIO,3,70,4.29
OCEG1034       ,DISEÑO COSTERO,0,66,0.00
OCEG1035       ,FUNDAMENTOS DE INGENIERÍA OCEANOGRÁFICA,5,64,7.81
OCEG1036       ,GEOLOGÍA MARINA,0,45,0.00
OCEG1037       ,GESTIÓN DE DRAGADOS,2,73,2.74
OCEG1038       ,GESTIÓN DE ZONAS MARINO-COSTERAS,1,77,1.30
OCEG1039       ,IMPACTO AMBIENTAL MARINO-COSTERO,3,77,3.90
OCEG1040       ,PLANIFICACIÓN DE DRAGADOS,5,68,7.35
OCEG1043       ,MATERIA INTEGRADORA DE OCEANOGRAFÍA,4,92,4.35
OCEG1044       ,TÉCNICAS DE MANEJO COSTERO,2,44,4.55
OCEG1045       ,PLANIFICACIÓN Y CONSTRUCCIÓN,16,110,14.55
OCEG1046       ,PROCESOS ESTUARINOS,2,82,2.44
OCEG1047       ,MODELAJE COSTERO,0,83,0.00
OCEG1048       ,OCEANOGRAFÍA COSTERA,6,83,7.23
OCEG1049       ,ONDAS MARINAS,1,61,1.64
OCEG1050       ,OCEANOGRAFÍA FÍSICA,2,74,2.70
OCEG1051       ,OCEANOGRAFÍA DESCRIPTIVA,8,54,14.81
OCET3002       ,OCEANOGRAFÍA,0,16,0.00
PETG1020       ,COMPLETACIÓN Y REACONDICIONAMIENTO DE POZOS,0,87,0.00
PETG1021       ,INGENIERÍA DE PRODUCCIÓN I,1,61,1.64
PETG1022       ,INGENIERÍA DE PRODUCCIÓN II,0,85,0.00
PETG1023       ,INGENIERÍA DE YACIMIENTOS I,4,76,5.26
PETG1024       ,INGENIERÍA DE YACIMIENTOS II,2,85,2.35
PETG1025       ,PERFORACIÓN,6,67,8.96
PETG1026       ,PERFORACIÓN DIRECCIONAL,0,77,0.00
PETG1027       ,PETROFÍSICA,7,68,10.29
PETG1028       ,SIMULACIÓN DE RESERVORIOS,1,102,0.98
PETG1030       ,EVALUACIÓN DE FORMACIONES I,2,59,3.39
PETG1031       ,PROPIEDADES DE HIDROCARBUROS Y COMPORTAMIENTO DE FASES,1,52,1.92
PETG1032       ,INTRODUCCIÓN A LA INDUSTRIA HIDROCARBURÍFERA,2,80,2.50
PETG1033       ,MATERIA INTEGRADORA PARA PETRÓLEOS,1,102,0.98
PETG1034       ,EVALUACIÓN DE FORMACIONES II,0,73,0.00
QUIG1032       ,QUÍMICA GENERAL,1195,4764,25.08
QUIG1033       ,QUÍMICA INORGÁNICA,38,530,7.17
QUIG1034       ,FISICOQUÍMICA,20,449,4.45
QUIG1035       ,QUÍMICA ORGÁNICA,70,1018,6.88
QUIG1036       ,QUÍMICA ORGÁNICA I,57,393,14.50
QUIG1037       ,BALANCE DE MATERIA Y ENERGÍA,102,469,21.75
QUIG1038       ,QUÍMICA ORGÁNICA II,28,388,7.22
QUIG1039       ,FENÓMENOS DE TRANSPORTE DE MOMENTUM,9,382,2.36
QUIG1040       ,QUÍMICA ANALÍTICA E INSTRUMENTAL,60,326,18.40
QUIG1041       ,FENÓMENOS DE TRANSPORTE DE CALOR,22,406,5.42
QUIG1042       ,FENÓMENOS DE TRANSPORTE DE MASA,38,389,9.77
QUIG1043       ,CINÉTICA Y REACTORES,54,443,12.19
QUIG1044       ,OPERACIONES UNITARIAS I,26,462,5.63
QUIG1045       ,OPERACIONES UNITARIAS II,15,388,3.87
QUIG1046       ,DINÁMICA DE PROCESOS Y CONTROL,18,418,4.31
QUIG1047       ,DISEÑO DE PLANTAS,8,399,2.01
QUIG1050       ,MATERIA INTEGRADORA DE INGENIERÍA QUÍMICA,4,389,1.03
SOFG1006       ,DESARROLLO DE APLICACIONES WEB Y MÓVILES,53,693,7.65
SOFG1007       ,INGENIERÍA DE SOFTWARE I,13,634,2.05
SOFG1008       ,INGENIERÍA DE SOFTWARE II,56,653,8.58
SOFG1009       ,LENGUAJES DE PROGRAMACIÓN,21,580,3.62
TELG1027       ,CIRCUITOS DE ALTA FRECUENCIA Y MICROONDAS,20,257,7.78
TELG1028       ,COMUNICACIONES INALÁMBRICAS,11,308,3.57
TELG1029       ,DISEÑO DE APLICACIONES EN TELECOMUNICACIONES,5,259,1.93
TELG1030       ,DISEÑO DE REDES CONMUTADAS,27,247,10.93
TELG1031       ,FIBRAS ÓPTICAS,4,279,1.43
TELG1032       ,INTRODUCCIÓN A LAS TELECOMUNICACIONES,32,259,12.36
TELG1033       ,MATERIA INTEGRADORA DE TELECOMUNICACIONES,9,321,2.80
TELG1034       ,PROCESAMIENTO DIGITAL DE SEÑALES,9,245,3.67
TELG1035       ,PROPAGACIÓN,0,282,0.00
TELG1037       ,SEÑALES Y SISTEMAS,36,254,14.17
TELG1038       ,SISTEMAS DE COMUNICACIONES I,7,243,2.88
TELG1039       ,SISTEMAS DE COMUNICACIONES II,9,257,3.50
TELG1040       ,SISTEMAS DE REDES,7,280,2.50
TELG1042       ,TRANSMISIÓN DE SERVICIOS MULTIMEDIA,1,224,0.45
TICG1018       ,SISTEMA DE BASES DE DATOS,147,1045,14.07
TICG1802       ,SISTEMA DE BASES DE DATOS,0,6,0.00
TLMG1022       ,ADMINISTRACIÓN DE SISTEMAS Y SERVICIOS EN RED,14,226,6.19
TLMG1025       ,CALIDAD DE SERVICIO Y REDES MULTIMEDIA,2,204,0.98
TLMG1026       ,CIBERSEGURIDAD Y GESTIÓN DE REDES,6,223,2.69
TLMG1027       ,COMUNICACIÓN DIGITAL DE DATOS,0,175,0.00
TLMG1028       ,EVALUACIÓN Y SIMULACIÓN DE REDES,7,212,3.30
TLMG1029       ,GESTIÓN DE INFRAESTRUCTURA Y SERVICIOS TI,4,212,1.89
TLMG1030       ,INTERNETWORKING,8,210,3.81
TLMG1031       ,MATERIA INTEGRADORA DE TELEMÁTICA,16,219,7.31
TLMG1032       ,REDES DE DATOS,30,903,3.32
TLMG1033       ,REDES INALÁMBRICAS Y DE SENSORES,3,214,1.40
TLMG1034       ,SISTEMAS EN LA NUBE,10,163,6.13
TLMG1035       ,TELEMETRÍA Y SISTEMAS CIBERFÍSICOS,5,182,2.75
TLMG1036       ,TELEMÁTICA Y TRANSFORMACIÓN DIGITAL,7,177,3.95
TLMG1037       ,PROGRAMACIÓN DE SISTEMAS TELEMÁTICOS,11,486,2.26
TURG2018       ,AGENCIAS DE VIAJE,40,345,11.59
TURG2019       ,ALIMENTOS Y BEBIDAS,32,491,6.52
TURG2020       ,CONGRESOS Y EVENTOS,1,198,0.51
TURG2021       ,CONSERVACIÓN Y MANEJO AMBIENTAL EN TURISMO,3,292,1.03
TURG2022       ,DERECHO TURÍSTICO Y AMBIENTAL,57,481,11.85
TURG2023       ,DESARROLLO SOSTENIBLE DEL TURISMO,1,255,0.39
TURG2024       ,FUNDAMENTOS DE PLANIFICACIÓN TURÍSTICA,119,439,27.11
TURG2029       ,MATERIA INTEGRADORA DE TURISMO,6,304,1.97
TURG2030       ,GESTIÓN HOTELERA,21,316,6.65
TURG2031       ,MARKETING TURÍSTICO,9,328,2.74
TURG2032       ,MÉTODOS DE INVESTIGACIÓN EN TURISMO,8,284,2.82
TURG2033       ,PLANIFICACIÓN DE ESPACIOS TURÍSTICOS,20,302,6.62
TURG2034       ,PATRIMONIO NATURAL Y CULTURAL,18,449,4.01
TURG2035       ,GEOGRAFÍA TURÍSTICA,100,514,19.46
TURG2036       ,TEORÍA DEL TURISMO,39,398,9.80
TURG2037       ,OPERACIÓN TURÍSTICA,16,360,4.44
