CODIGOMATERIA,CLASIFMATERIA,MATERIA,ANIO,TERMINO,DIFICULTAD
LOGT3009,G,GESTIÓN MARÍTIMA PORTUARIA,2024,0S,"8,58"
LOGT3010,G,TRANSPORTE MARÍTIMO,2024,0S,"8,67"
LOGT3011,G,OPERACIONES Y SERVICIOS PORTUARIOS,2024,0S,"9,50"
LOGT3012,G,TRÁFICO MARÍTIMO,2025,0S,"7,54"
LOGT3013,G,LOGÍSTICA PORTUARIA,2025,0S,"8,59"
LOGT3014,T,MATERIA INTEGRADORA DE TECNOLOGÍA EN LOGÍSTICA PORTUARIA,2025,0S,"8,59"
MATG1001,G,CÁLCULO DE UNA VARIABLE,2016,1S,"5,84"
MATG1002,G,CÁLCULO DE VARIAS VARIABLES,2016,1S,"6,12"
MATG1003,G,ÁLGEBRA LINEAL,2016,1S,"5,48"
MATG1004,G,ECUACIONES DIFERENCIALES,2017,1S,"5,68"
MATG1005,G,MATEMÁTICAS DISCRETAS,2017,1S,"5,76"
MATG1045,G,CÁLCULO DE UNA VARIABLE,2020,0S,"5,97"
MATG1046,G,CÁLCULO VECTORIAL,2020,0S,"6,27"
MATG1047,G,CÁLCULO DE VARIAS VARIABLES,2020,0S,"6,78"
MATG1048,G,ECUACIONES DIFERENCIALES Y ÁLGEBRA LINEAL,2020,0S,"6,88"
MATG1049,G,ÁLGEBRA LINEAL,2020,0S,"6,16"
MATG1050,G,ECUACIONES DIFERENCIALES,2020,0S,"6,27"
MATG1051,G,MATEMÁTICAS DISCRETAS,2020,0S,"5,57"
MATG1052,G,MÉTODOS NUMÉRICOS,2020,0S,"7,52"
MATG1053,G,MATEMÁTICA APLICADA A LA INGENIERÍA,2020,0S,"7,07"
MATG1054,G,MATEMÁTICAS SUPERIORES,2020,0S,"7,26"
MATG1055,G,MATEMÁTICAS AVANZADAS,2020,0S,"8,24"
MATG1056,G,INTRODUCCIÓN AL RAZONAMIENTO MATEMÁTICO,2020,0S,"6,38"
MATG1057,G,OPTIMIZACIÓN LINEAL,2020,0S,"7,34"
MATG1058,G,OPTIMIZACIÓN NUMÉRICA,2020,0S,"7,00"
MATG1059,G,OPTIMIZACIÓN COMBINATORIA,2020,0S,"7,54"
MATG1060,G,OPTIMIZACIÓN NO LINEAL Y ESTOCÁSTICA,2020,0S,"8,35"
MATG1061,G,METAHEURÍSTICAS,2020,0S,"6,93"
MATG1062,G,GEOMETRÍA AXIOMÁTICA,2020,0S,"6,47"
MATG1063,G,CÁLCULO I,2020,0S,"6,64"
MATG1064,G,CÁLCULO II,2020,0S,"6,24"
MATG1065,G,ANÁLISIS DISCRETO,2020,0S,"6,35"
MATG1066,G,ÁLGEBRA LINEAL I,2020,0S,"5,75"
MATG1067,G,ÁLGEBRA LINEAL II,2020,0S,"7,18"
MATG1068,G,ECUACIONES DIFERENCIALES I,2020,0S,"6,52"
MATG1069,G,ECUACIONES DIFERENCIALES II,2020,0S,"7,87"
MATG1070,G,ANÁLISIS MATEMÁTICO I,2020,0S,"6,87"
MATG1071,G,ANÁLISIS MATEMÁTICO II,2020,0S,"6,70"
MATG1072,G,FUNDAMENTOS DE OPTIMIZACIÓN,2020,0S,"7,94"
MATG1073,G,ESTRUCTURAS ALGEBRAICAS,2020,0S,"5,58"
MATG1074,G,TOPOLOGÍA,2021,0S,"7,69"
MATG1075,G,MÉTODOS MATEMÁTICOS PARA LAS CIENCIAS,2020,0S,"7,56"
MATG1076,G,ANÁLISIS NUMÉRICO,2020,0S,"6,89"
MATG1077,G,TEORÍA DE LA MEDIDA,2020,0S,"6,60"
MATG1078,G,ANÁLISIS COMPLEJO,2021,0S,"5,97"
MATG1079,G,ANÁLISIS FUNCIONAL,2021,0S,"7,01"
MATG1080,G,GEOMETRÍA DIFERENCIAL,2020,0S,"7,96"
MATG1082,G,ELEMENTOS DE COMPUTACIÓN CIENTÍFICA,2020,0S,"8,08"
MATG1086,T,MATERIA INTEGRADORA DE MATEMÁTICA,2021,0S,"9,01"
MATG1801,G,CÁLCULO DE UNA VARIABLE,2024,0S,"5,75"
MATG1802,G,CÁLCULO VECTORIAL,2025,0S,"7,45"
MATG1803,G,ÁLGEBRA LINEAL,2024,0S,"5,99"
MATG2007,G,MATEMÁTICAS,2020,0S,"7,03"
MATG2008,G,MATEMÁTICAS FINANCIERAS,2020,0S,"6,01"
MATG2009,G,MATEMÁTICAS,2020,0S,"7,14"
MATT3002,G,MATEMÁTICAS,2023,0S,"7,63"
MCTG1011,G,ACTUADORES MECATRÓNICOS,2020,0S,"8,73"
