CODIGOMATERIA,CLASIFMATERIA,MATERIA,ANIO,TERMINO,DIFICULTAD
ESTG1056,G,DATOS NO ESTRUCTURADOS,2020,0S,"8,05"
ESTG1057,G,SIMULACIÓN MATEMÁTICA,2020,0S,"7,27"
ESTG1062,T,MATERIA INTEGRADORA DE ESTADÍSTICA,2020,0S,"9,57"
ESTG1063,G,BIOESTADÍSTICA,2020,0S,"8,15"
ESTG2004,G,ESTADÍSTICA,2020,0S,"6,61"
ESTT3002,G,METROLOGÍA,2023,0S,"8,85"
ESTT3003,G,ESTADÍSTICA,2024,0S,"8,63"
EYAG1001,G,INTRODUCCIÓN A LA ROBÓTICA INDUSTRIAL,2016,1S,"7,79"
EYAG1027,G,APLICACIONES ELECTRÓNICAS,2020,0S,"6,39"
EYAG1028,G,AUTOMATIZACIÓN DE PROCESOS INDUSTRIALES,2020,0S,"8,43"
EYAG1029,G,COMUNICACIONES INDUSTRIALES Y SISTEMAS SCADA,2020,0S,"8,53"
EYAG1030,G,CONTROL AVANZADO,2020,0S,"6,91"
EYAG1034,G,ELECTRÓNICA,2020,0S,"6,87"
EYAG1035,G,ELECTRÓNICA DE POTENCIA I,2020,0S,"7,68"
EYAG1036,G,ELECTRÓNICA DE POTENCIA II,2020,0S,"8,23"
EYAG1037,G,FUNDAMENTOS DE ELECTRICIDAD Y SISTEMAS DIGITALES,2020,0S,"7,75"
EYAG1038,G,INSTRUMENTACIÓN INDUSTRIAL,2020,0S,"8,30"
EYAG1039,T,MATERIA INTEGRADORA DE ELECTRÓNICA Y AUTOMATIZACIÓN,2020,0S,"9,03"
EYAG1040,G,PRINCIPIOS DE ELECTRÓNICA,2020,0S,"6,19"
EYAG1041,G,PROGRAMACIÓN APLICADA A LA AUTOMATIZACIÓN,2020,0S,"7,33"
EYAG1042,G,ROBÓTICA INDUSTRIAL,2020,0S,"7,88"
EYAG1043,G,SISTEMAS DE CONTROL,2020,0S,"6,37"
EYAG1044,G,SISTEMAS DIGITALES I,2020,0S,"7,17"
EYAG1045,G,SISTEMAS DIGITALES II,2020,0S,"6,37"
EYAG1046,G,SISTEMAS EMBEBIDOS,2020,0S,"7,97"
EYAT3001,G,INSTRUMENTACIÓN,2023,0S,"8,44"
EYAT3002,G,CONTROL DE POTENCIA,2024,0S,"8,08"
EYAT3003,G,CONTROLES INDUSTRIALES,2024,0S,"9,12"
EYAT3004,G,CONTROL PROGRAMABLE,2024,0S,"8,18"
FICT00018,G,TOPOGRAFÍA,2013,1S,"8,41"
FICT00026,G,GEOLOGÍA FÍSICA,2013,1S,"7,85"
FICT00059,G,GEOLOGÍA DEL PETRÓLEO,2013,1S,"7,76"
FICT00208,G,GEOLOGÍA ESTRUCTURAL,2013,1S,"7,13"
FICT00406,G,PROSPECCIÓN MINERA,2016,1S,"7,93"
FICT00489,G,GEOLOGIA DE MINAS,2013,1S,"7,64"
FICT00497,G,HIDROGEOLOGíA,2013,1S,"7,60"
FICT00562,G,GEOMORFOLOGIA,2013,1S,"8,53"
FICT00588,G,GEOLOGÍA DEL ECUADOR,2013,1S,"8,42"
FICT00612,G,ESTRATIGRAFÍA Y SEDIMENTACIÓN,2013,1S,"8,47"
FICT00620,G,GEOESTADISTICA,2015,1S,"8,11"
FICT00638,G,GEOLOGÍA HISTÓRICA,2013,1S,"8,13"
FICT00653,G,MINERALOGÍA ÓPTICA,2013,1S,"8,63"
FICT00695,G,PALEONTOLOGÍA,2013,1S,"7,90"
FICT00760,G,GEOQUÍMICA,2014,1S,"7,55"
FICT00794,G,PETROLOGIA SEDIMENTARIA,2013,1S,"8,30"
FICT00802,G,PETROLOGIA IGNEA Y METAMORFICA,2013,1S,"8,43"
FICT00984,G,EVALUACIÓN  DE YACIMIENTOS MINERALES,2013,1S,"7,84"
FICT01057,G,MECÁNICA DE ROCAS,2013,1S,"8,38"
FICT01115,G,PETROGRAFÍA,2013,1S,"8,07"
FICT01313,G,INTRODUCCIÓN A LA INGENIERÍA DE PETRÓLEO,2013,1S,"7,54"
FICT01453,G,PRODUCCIÓN I,2013,1S,"7,74"
FICT01461,G,GEOLOGÍA DEL SUBSUELO,2013,1S,"8,06"
FICT01487,G,RECUPERACIÓN SECUNDARIA,2013,1S,"7,59"
FICT01503,G,PRODUCCIÓN II,2013,1S,"7,67"
FICT01529,G,EVALUACIÓN DE FORMACIONES,2013,1S,"7,41"
FICT01602,G,COMPLETACIÓN,2013,1S,"7,87"
FICT01651,G,MECÁNICA DE FLUÍDOS,2013,1S,"7,22"
FICT01669,G,TERMODINÁMICA,2013,1S,"6,97"
FICT01685,G,MECÁNICA DE SÓLIDOS (GEOL),2013,1S,"7,09"
FICT01818,G,PERFORACIÓN,2013,1S,"7,70"
FICT01883,G,TECTÓNICA,2013,1S,"8,18"
FICT01958,G,FLUJO EN MEDIOS POROSOS,2013,1S,"7,07"
FICT01966,G,PRUEBAS DE POZOS,2013,1S,"7,11"
FICT02071,G,PERFILAJE,2013,1S,"7,11"
FICT02089,G,YACIMIENTOS I,2013,1S,"7,01"
FICT02097,G,YACIMIENTOS II,2013,1S,"7,67"
FICT02113,G,ESTIMULACIÓN Y REACONDICIONAMIENTO DE POZOS,2013,1S,"7,67"
FICT02147,G,PRODUCCIÓN III,2013,1S,"7,60"
FICT02295,G,CIMENTACIÓN,2013,1S,"7,54"
FICT02311,G,OBRAS SUBTERRÁNEAS,2014,1S,"8,57"
FICT02337,G,TOPOGRAFÍA DE MINAS,2013,1S,"8,11"
FICT02386,G,RECUPERACION MEJORADA,2013,1S,"7,36"
FICT02402,G,PERFORACIONES Y VOLADURAS,2013,1S,"8,07"
FICT02444,G,MINERÍA SUBTERRÁNEA II,2013,1S,"7,85"
FICT02451,G,GEOTECNIA MINERA,2013,1S,"7,73"
FICT02550,G,ESTRUCTURAS II,2013,1S,"7,37"
FICT02584,G,MINERÍA SUBTERRÁNEA I,2013,1S,"7,57"
FICT02592,G,ESTRUCTURAS I,2013,1S,"6,98"
FICT02659,G,TRANSP. Y ALMACENAM. DE MINERALES,2014,1S,"8,11"
FICT02717,G,MINERALOGÍA,2013,1S,"6,87"
FICT02725,G,TOPOGRAFÍA I,2013,1S,"7,90"
FICT02774,G,MINERÍA DE SUPERFICIE I,2013,1S,"7,64"
FICT02782,G,TECNOLOGÍA MINERA,2013,1S,"8,00"
FICT02808,G,MINERÍA DE SUPERFICIE II,2013,1S,"8,02"
FICT02824,G,DISEÑO DE MINAS,2013,1S,"7,60"
FICT02865,G,RESISTENCIA I,2013,1S,"7,11"
FICT02873,G,HIDROLOGÍA,2013,1S,"7,41"
FICT02881,G,MECÁNICA SUELOS I,2013,1S,"7,73"
FICT02899,G,TOPOGRAFÍA II,2013,1S,"7,59"
FICT02907,G,RESISTENCIA II,2013,1S,"7,45"
FICT02915,G,HIDRÁULICA,2013,1S,"7,50"
FICT02923,G,MECÁNICA SUELOS II,2013,1S,"7,62"
FICT02931,G,HORMIGÓN I,2013,1S,"8,00"
FICT02956,G,HORMIGÓN II,2013,1S,"8,37"
FICT02964,G,ESTABILIZACIÓN DE SUELOS Y ROCAS,2013,1S,"8,42"
FICT02972,G,INGENIERÍA SANITARIA I,2013,1S,"7,43"
FICT02998,G,CONSTRUCCIÓN,2013,1S,"8,28"
FICT03004,G,HORMIGÓN PREFORZADO,2013,1S,"7,85"
FICT03012,G,INGENIERÍA SANITARIA II,2013,1S,"7,25"
FICT03020,G,INGENIERÍA  AMBIENTAL,2013,1S,"7,64"
FICT03038,G,PUENTES,2013,1S,"7,79"
FICT03053,G,FACILIDADES SUPERFICIES I,2013,1S,"7,79"
FICT03061,G,PROPIEDADES DE HIDROCARBUROS Y COMPORTAMIENTO DE FASES,2013,1S,"7,67"
FICT03087,G,FACILIDADES SUPERFICIES II,2013,1S,"8,09"
FICT03095,G,FACILIDADES SUPERFICIES III,2013,1S,"8,23"
FICT03111,G,GEOFÍSICA,2013,1S,"6,77"
FICT03202,G,TECNOLOGÍA DEL HORMIGÓN,2013,1S,"7,66"
FICT03210,G,DIBUJO TÉCNICO Y PLANOS,2013,1S,"7,52"
FICT03228,G,INFORMÁTICA APLICADA,2013,1S,"8,30"
FICT03236,G,HORMIGONES ESPECIALES,2013,1S,"7,51"
FICT03244,G,INSTALACIONES,2013,1S,"8,11"
FICT03269,G,DISEÑO ESTRUCTURAL,2013,1S,"7,14"
FICT03285,G,PROGRAMACIÓN DE OBRAS,2015,1S,"8,25"
FICT03293,G,LEGISLACIÓN PROFESIONAL,2013,1S,"7,86"
FICT03319,G,ADMINISTRACIÓN PETROLERA,2013,1S,"8,96"
FICT03327,G,PETRÓLEO Y MEDIO AMBIENTE,2013,1S,"7,88"
FICT03335,G,ANÁLISIS DEL COSTO DE OBRAS,2013,1S,"7,88"
FICT03343,G,ESTRUCTURAS METÁLICAS,2013,1S,"6,77"
FICT03368,G,SÍSMICA EN 2 D,2013,1S,"7,85"
FICT03376,G,GEOTECNIA BÁSICA,2013,1S,"8,34"
FICT03384,G,ESTÁTICA/DINÁMICA,2013,1S,"7,03"
FICT03392,G,MATERIALES DE INGENIERÍA CIVIL,2013,1S,"7,93"
FICT03400,G,CARRETERA I,2013,1S,"7,39"
FICT03418,G,OBRAS HIDRÁULICAS,2013,1S,"7,58"
FICT03426,G,CARRETERAS II,2013,1S,"7,18"
FICT03434,G,INTRODUCCIÓN A LA DINÁMICA ESTRUCTURAL,2016,1S,"8,61"
FICT03459,G,INTRODUCCIÓN A LA INGENIERÍA SISMO RESISTENTE,2015,1S,"9,13"
FICT03475,G,TRATAMIENTO DEL AGUA,2013,1S,"7,57"
FICT03483,G,TRATAMIENTO DE DESECHOS SÓLIDOS,2013,1S,"7,59"
FICT03491,G,INTRODUCCIÓN A LA INGENIERÍA DE MINAS Y CIENCIAS DE LA TIERRA,2013,1S,"7,42"
FICT03509,G,METODOLOGÍA DE LA INVESTIGACIÓN,2014,1S,"7,63"
FICT03517,G,GEOLOGÍA ECONÓMICA,2013,1S,"8,45"
FICT03533,G,PROTECCIÓN E HIGIENE MINERA,2013,1S,"7,94"
FICT03541,G,CONSTRUCCIONES MINERAS DE SUPERFICIE,2013,1S,"7,90"
FICT03558,G,"DRENAJE, VENTILACIÓN Y ALUMBRADO",2013,1S,"7,73"
FICT03566,G,PREPARACIÓN MECÁNICA,2013,1S,"7,65"
FICT03574,G,MAQUINARIA MINERA,2013,1S,"8,17"
FICT03582,G,GEOHIDROLOGÍA DE MINAS,2013,1S,"7,16"
FICT03590,G,MINERALURGIA,2014,1S,"7,50"
FICT03616,G,METALURGIA EXTRACTIVA,2013,1S,"7,78"
FICT03624,G,GESTIÓN AMBIENTAL MINERA,2016,1S,"8,57"
FICT03640,G,PROYECTOS GEOMINEROS,2013,1S,"7,92"
FICT03657,G,LEGISLACIÓN MINERA Y AMBIENTAL,2013,1S,"7,99"
FICT03665,G,GEOLOGÍA GENERAL (2005),2013,1S,"7,39"
FICT03673,G,MATEMÁTICAS SUPERIORES PARA ING. EN GEOCIENCIAS,2013,1S,"7,87"
FICT03681,G,PERFORACIÓN DIRECCIONAL,2013,1S,"7,95"
FICT03699,G,GEOLOGÍA ESTRUCTURAL Y DEL PETRÓLEO,2013,1S,"7,01"
FICT03707,G,SIMULACIÓN NUMÉRICA DE YACIMIENTO I,2013,1S,"8,12"
FICT03715,G,ECONOMÍA PETROLERA,2013,1S,"8,55"
FICT03749,G,SEDIMENTOLOGÍA,2013,1S,"7,93"
FICT03806,G,GEOLOGÍA PRÁCTICA,2013,1S,"9,07"
FICT03814,G,FOTOGEOLOGÍA (2005),2013,1S,"8,35"
FICT03822,G,DEPÓSITOS MINERALES,2013,1S,"8,06"
FICT03830,G,TELEDETECCIÓN,2013,1S,"8,44"
FICT03848,G,GEOLOGÍA DE SUPERFICIE,2013,1S,"8,63"
FICT03871,G,PROSPECCIÓN GEOFÍSICA AVANZADA,2016,1S,"7,77"
FICT03921,G,SOFTWARE EN CIENCIAS GEOLÓGICAS,2014,1S,"8,38"
FICT03970,G,LABORATORIO DE PETRÓLEOS,2013,1S,"7,95"
FICT04192,G,SOLDADURA,2013,1S,"7,48"
FICT04309,G,ESTRATIGRAFÍA Y GEOLOGÍA EST. APLIC. A LA INVEST. PETROLERA Y RIESGO GEOLÓGIC,2014,1S,"9,86"
FIEC00075,G,ELECTRÓNICA I,2013,1S,"5,78"
FIEC00133,G,MAQUINARIA ELÉCTRICA I,2013,1S,"5,47"
FIEC00158,G,SISTEMAS DE POTENCIA I,2013,1S,"5,10"
FIEC00166,G,MAQUINARIA ELÉCTRICA II,2013,1S,"5,64"
FIEC00190,G,ELECTRÓNICA II,2013,1S,"6,00"
FIEC00273,G,CONTROLES INDUSTRIALES ELÉCTRICOS,2013,1S,"5,97"
FIEC00281,G,LABORATORIO DE CONTROLES  INDUSTRIALES ELÉCTRICOS,2013,1S,"7,99"
FIEC00299,G,SISTEMAS DIGITALES I,2013,1S,"6,35"
FIEC00380,G,ANTENAS ,2015,1S,"6,72"
FIEC00646,G,ILUMINACIÓN E INSTALACIONES ELÉCTRICAS,2013,1S,"6,74"
FIEC00679,G,LABORATORIO DE SISTEMAS DIGITALES,2013,1S,"7,03"
FIEC00703,G,CENTRALES ELÉCTRICAS,2013,1S,"6,90"
FIEC00729,G,PROPAGACIÓN,2013,1S,"7,50"
FIEC00745,G,SISTEMAS DIGITALES II,2013,1S,"6,18"
FIEC00760,G,MICROPROCESADORES,2013,1S,"6,49"
FIEC00786,G,OPERACIÓN ECONÓMICA DE SISTEMAS DE POTENCIA,2013,1S,"6,77"
FIEC00810,G,ESTABILIDAD DE LOS SISTEMAS DE POTENCIA(CP),2015,1S,"6,41"
FIEC00828,G,TRANSIENTES,2013,1S,"6,15"
FIEC00869,G,TELEVISION (CE),2013,1S,"6,95"
FIEC00885,G,ELECTRÓNICA MÉDICA,2013,1S,"6,88"
FIEC01099,G,LABORATORIO DE ELECTRÓNICA A,2013,1S,"7,77"
FIEC01347,G,LABORATORIO DE ELECTRÓNICA B,2013,1S,"7,52"
FIEC01388,G,ELECTRÓNICA III,2013,1S,"5,77"
FIEC01495,G,SISTEMAS DE POTENCIA II,2013,1S,"6,48"
FIEC01503,G,LABORATORIO DE SISTEMAS DE POTENCIA,2013,1S,"8,45"
FIEC01511,G,MAQUINARIA ELÉCTRICA III (FP),2014,1S,"7,60"
FIEC01537,G,CONSTRUCCIONES ELECTRÓNICAS (FF),2013,1S,"7,44"
FIEC01545,G,INTERACCIÓN HOMBRE MÁQUINA,2013,1S,"7,23"
FIEC01552,G,LENGUAJES DE PROGRAMACIÓN,2013,1S,"6,08"
FIEC01610,G,SISTEMAS DE POTENCIA III (CP),2013,1S,"6,76"
FIEC01693,G,PROTECCIONES ELÉCTRICAS,2013,1S,"6,61"
FIEC01735,G,ANÁLISIS DE REDES ELÉCTRICAS I,2013,1S,"5,81"
FIEC01768,G,LÍNEAS DE TRANSMISIÓN Y SUBESTACIONES,2013,1S,"7,14"
FIEC01784,G,ANÁLISIS DE REDES ELÉCTRICAS II,2013,1S,"6,79"
FIEC01800,G,LABORATORIO DE REDES ELÉCTRICAS,2013,1S,"7,05"
FIEC02097,G,SISTEMAS OPERATIVOS,2013,1S,"6,72"
FIEC02105,G,SISTEMAS DE INFORMACIÓN,2013,1S,"6,83"
FIEC03012,G,ESTRUCTURAS DE DATOS,2013,1S,"6,24"
FIEC03046,G,INGENIERÍA DE SOFTWARE I,2013,1S,"7,48"
FIEC03053,G,INGENIERÍA DE SOFTWARE II,2013,1S,"7,78"
FIEC03129,G,ELECTRÓNICA DE POTENCIA I,2013,1S,"6,39"
FIEC03145,G,LABORATORIO DE ELECTRÓNICA DE POTENCIA,2013,1S,"8,37"
FIEC03152,G,ELECTRÓNICA DE POTENCIA II,2013,1S,"7,09"
FIEC03194,G,COMUNICACIONES SATELITALES,2013,1S,"7,43"
FIEC03236,G,PROBABILIDADES Y PROCESOS ESTOCÁSTICOS,2013,1S,"6,45"
FIEC03251,G,LABORATORIO DE MAQUINARIA ELÉCTRICA,2013,1S,"8,33"
FIEC03269,G,DISTRIBUCIÓN ELÉCTRICA I,2013,1S,"6,19"
FIEC03285,G,DISTRIBUCIÓN ELÉCTRICA II,2013,1S,"7,05"
FIEC03319,G,ORGANIZACIÓN Y ARQUITECTURA DE COMPUTADORES,2013,1S,"7,44"
FIEC03392,G,PROBLEMAS ESPECIALES DE INGENIERÍA EN COMPUTACIÓN,2013,1S,"7,53"
FIEC03418,G,CONTROL AUTOMÁTICO,2013,1S,"5,80"
FIEC03426,G,TEORÍA ELECTROMAGNÉTICA I,2013,1S,"5,58"
FIEC03442,G,TEORÍA ELECTROMAGNÉTICA II,2013,1S,"6,63"
FIEC03459,G,INTELIGENCIA ARTIFICIAL,2013,1S,"6,55"
FIEC03483,G,PLANIFICACIÓN DE SISTEMAS ELÉCTRICOS,2013,1S,"7,02"
FIEC04291,G,INSTALACIONES ELÉCTRICAS INDUSTRIALES,2013,1S,"6,54"
FIEC04309,G,CONTROL DE PROCESOS INDUSTRIALES,2014,1S,"7,65"
FIEC04317,G,MANTENIMIENTO Y SEGURIDAD INDUSTRIAL,2013,1S,"7,71"
FIEC04341,G,FUNDAMENTOS DE PROGRAMACIÓN,2013,1S,"5,12"
FIEC04358,G,INTRODUCCIÓN A LA INFORMÁTICA,2013,1S,"6,83"
FIEC04366,G,ANÁLISIS DE ALGORÍTMOS,2013,1S,"6,40"
FIEC04382,G,SEÑALES Y SISTEMAS,2013,1S,"6,35"
FIEC04408,G,COMUNICACIONES INALÁMBRICAS,2013,1S,"7,09"
FIEC04457,G,ELECTRICIDAD,2013,1S,"6,46"
FIEC04465,G,ELECTRÓNICA,2013,1S,"7,00"
FIEC04622,G,PROGRAMACIÓN ORIENTADA A OBJETOS,2013,1S,"5,97"
FIEC04655,G,COMUNICACIONES DE DATOS,2013,1S,"6,95"
FIEC04705,G,REDES DE COMPUTADORES,2013,1S,"6,38"
FIEC04812,G,ORGANIZACIÓN Y MÉTODOS (IIT95),2013,1S,"8,01"
FIEC04820,G,REDES DE COMPUTADORES,2013,1S,"7,04"
FIEC04838,G,PLANEACIÓN Y CONTROL DE PROYECTOS(IIT95),2013,1S,"7,46"
FIEC04861,G,SISTEMAS DE INFORMACIÓN (IIT95),2013,1S,"7,74"
FIEC04952,G,COMUNICACIONES ANALÓGICAS,2013,1S,"6,88"
FIEC04960,G,COMUNICACIONES DIGITALES,2013,1S,"7,06"
FIEC04978,G,REDES DE DATOS I,2013,1S,"7,63"
FIEC04986,G,TELEFONÍA DIGITAL,2013,1S,"7,42"
FIEC04994,G,COMUNICACIONES ÓPTICAS,2013,1S,"7,85"
FIEC05009,G,LABORATORIO DE TELECOMUNICACIONES,2013,1S,"8,09"
FIEC05058,G,SISTEMAS LINEALES,2013,1S,"6,44"
FIEC05090,G,MAQUINARIA ELÉCTRICA Y TRANSFORMADORES,2014,1S,"6,71"
FIEC05256,G,PROGRAMAS UTILITARIOS II,2013,1S,"7,61"
FIEC05306,G,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS INFORMÁTICOS,2013,1S,"6,57"
FIEC05322,G,SISTEMAS DE TOMA DE DECISIONES,2013,1S,"7,17"
FIEC05348,G,MARCO REGULATORIO DE LAS TELECOMUNICACIONES,2013,1S,"7,54"
FIEC05355,G,SISTEMAS DE BASES DE DATOS II,2014,1S,"8,31"
FIEC05405,G,GRÁFICOS POR COMPUTADORA I,2013,1S,"6,45"
FIEC05413,G,PROCESAMIENTO DE AUDIO Y VIDEO,2013,1S,"7,24"
FIEC05421,G,GRÁFICOS POR COMPUTADORA II,2013,1S,"7,03"
FIEC05439,G,PROCESAMIENTO DIGITAL DE IMÁGENES,2013,1S,"6,99"
FIEC05462,G,APLICACIONES MULTIMEDIA INTERACTIVAS,2013,1S,"7,97"
FIEC05470,G,DESARROLLO DE JUEGOS DE VIDEO,2013,1S,"8,23"
FIEC05512,G,CONTROL DE SISTEMAS DE POTENCIA,2015,1S,"6,66"
FIEC05520,G,CONFIABILIDAD DE SISTEMAS DE POTENCIA,2014,1S,"6,94"
FIEC05538,G,INSTRUMENTACIÓN INDUSTRIAL,2013,1S,"6,68"
FIEC05546,G,SISTEMAS DISTRIBUIDOS,2013,1S,"7,48"
FIEC05553,G,SISTEMAS DE BASES DE DATOS I,2013,1S,"6,68"
FIEC05561,G,MICROCONTROLADORES,2013,1S,"6,87"
FIEC05579,G,FUNDAMENTOS DE ROBÓTICA,2013,1S,"8,56"
FIEC05603,G,CONMUTACIÓN Y ENRUTAMIENTO I,2013,1S,"7,29"
FIEC05611,G,CONMUTACIÓN Y ENRUTAMIENTO II,2013,1S,"7,67"
FIEC05629,G,FUNDAMENTOS DE JAVA,2013,1S,"6,42"
FIEC05637,G,FUNDAMENTOS DE LINUX,2013,1S,"7,29"
FIEC05645,G,FUNDAMENTOS DE REDES DE DATOS,2013,1S,"6,92"
FIEC05652,G,SISTEMAS OPERATIVOS DE RED,2013,1S,"7,56"
FIEC05660,G,SOFTWARE Y HARDWARE DEL PC,2013,1S,"6,99"
FIEC05678,G,TECNOLOGÍAS DE REDES WAN,2013,1S,"6,98"
FIEC05785,G,PROGRAMACIÓN DE SISTEMAS TELEMÁTICOS I,2013,1S,"7,76"
FIEC05793,G,PROGRAMACIÓN DE SISTEMAS TELEMÁTICOS II,2013,1S,"7,26"
FIEC05884,G,DESARROLLO DE APLICACIONES WEB,2013,1S,"7,18"
FIEC05892,G,SISTEMAS DE GESTIÓN DE CALIDAD,2013,1S,"7,54"
FIEC05900,G,ESTUDIOS DE MERCADO,2013,1S,"7,59"
FIEC05926,G,DISEÑO DE SISTEMAS ELÉCTRICOS BASADO EN COMPUTADORA,2013,1S,"7,55"
FIEC05934,G,OPERACIÓN DE SISTEMAS DE POTENCIA,2013,1S,"7,00"
FIEC05942,G,MEDICIÓN DE MAGNITUDES ELÉCTRICAS EN SISTEMAS DE POTENCIA,2013,1S,"7,49"
FIEC05967,G,CALIDAD DE LA ENERGÍA Y ANÁLISIS DE ARMÓNICOS,2013,1S,"7,04"
FIEC05975,G,ADMINISTRACIÓN DEL NEGOCIO DE LA ENERGÍA ELÉCTRICA,2014,1S,"6,53"
FIEC05983,G,FUNDAMENTOS DE SEGURIDAD DE REDES-ROUTERS,2013,1S,"6,78"
FIEC06007,G,FUNDAMENTOS DE REDES INALÁMBRICAS,2013,1S,"6,95"
FIEC06015,G,PROBLEMAS ESPECIALES DE INGENIERÍA EN TELECOMUNICACIONES,2013,1S,"7,88"
FIEC06031,G,PLANEACIÓN ESTRATÉGICA,2013,1S,"7,21"
FIEC06080,G,INTERNET Y ARQUITECTURAS ORIENTADAS A SERVICIOS,2013,1S,"7,66"
FIEC06098,G,MARKETING PARA DESARROLLADORES DE SOFTWARE,2013,1S,"7,40"
FIEC06114,G,AUDITORÍA  DE SISTEMAS Y SEGURIDAD INFORMÁTICA,2013,1S,"7,74"
FIEC06122,G,BASES DE DATOS II,2013,1S,"6,79"
FIEC06155,G,FUNDAMENTOS DE CABLEADO DE VOZ Y DATOS (2005),2013,1S,"7,01"
FIEC06163,G,DISEÑO DE REDES,2013,1S,"6,68"
FIEC06171,G,DIRECCIONAMIENTO AVANZADO,2013,1S,"6,62"
FIEC06189,G,ADMINISTRACIÓN Y MANTENIMIENTO DE SERVIDORES WINDOWS,2013,1S,"6,84"
FIEC06197,G,ENRUTAMIENTO AVANZADO,2013,1S,"6,64"
FIEC06205,G,JAVA PROGRAMMING LANGUAGE,2013,1S,"7,20"
FIEC06213,G,INFRAESTRUCTURA DE REDES-HOST Y SERVIDOR,2013,1S,"7,33"
FIEC06221,G,IMPL.Y SOPORTE WINDOWS XP PROFESIONAL,2013,1S,"7,95"
FIEC06239,G,PLANEACIÓN Y MANTENIMIENTO DE ESTRUCTURAS DE REDES WINDOWS,2013,1S,"7,93"
FIEC06247,G,ADMINISTRACIÓN DE UNIX,2013,1S,"7,03"
FIEC06254,G,"PLANEACIÓN, IMPLEMENTACIÓN Y MANTENIMIENTO DE UNA INFRAESTRUCTURA DE RED CON ACTIVE DIRECTORY",2013,1S,"7,35"
FIEC06262,G,ADMINISTRACIÓN DE LAS PYMES,2013,1S,"7,67"
FIEC06270,G,DISEÑANDO UNA INFRAESTRUCTURA DE RED CON ACTIVE DIRECTORY,2013,1S,"6,95"
FIEC06288,G,IMPLEMENTACIÓN Y ADMINISTRACIÓN DE SEGURIDAD EN SERVIDORES WINDOWS,2013,1S,"7,10"
FIEC06296,G,FUNDAMENTOS DE TELEFONÍA IP,2013,1S,"7,25"
FIEC06304,G,REDES METROPOLITANAS,2013,1S,"7,06"
FIEC06312,G,QOS & MULTICASTING,2013,1S,"7,43"
FIEC06320,G,AUTOMATIZACIÓN INDUSTRIAL I,2013,1S,"7,33"
FIEC06338,G,AUTOMATIZACIÓN INDUSTRIAL II,2013,1S,"7,03"
FIEC06346,G,APLICACIONES DE LAS BASES DE DATOS EN LA INGENIERÍA,2013,1S,"7,92"
FIEC06353,G,DOMÓTICA E INMÓTICA,2013,1S,"8,10"
FIEC06411,G,COMPUTACIÓN Y SOCIEDAD,2013,1S,"7,14"
FIEC06429,G,DISEÑO DE SISTEMAS CONTROLADOS POR COMPUTADOR,2013,1S,"7,92"
FIEC06437,G,MÉTODOS DE INVESTIGACIÓN APLICADOS A LA COMPUTACIÓN,2013,1S,"6,53"
FIEC06445,G,SIMULACIÓN DE NEGOCIOS,2013,1S,"7,46"
FIEC06460,G,HERRAMIENTAS DE COLABORACIÓN DIGITAL,2013,1S,"7,75"
FIEC06924,G,USO EFICIENTE DEL ESPECTRO,2014,1S,"9,00"
FIEC06932,G,EFICIENCIA ENERGÉTICA APLICADA,2014,1S,"7,74"
FIEC06940,G,TELEMÁTICA APLICADA,2014,1S,"6,51"
FIEC06957,G,EVALUACIÓN DEL ALGORITMO DE CONTROL EN SISTEMAS DE ENERGÍA RENOVABLES,2014,1S,"8,98"
FIEC06965,G,DISEÑO DE CENTROS DE PROCESAMIENTO DE DATOS,2014,1S,"7,01"
FIEC06973,G,PROYECTOS DE TELEVISIÓN,2014,1S,"6,88"
FIEC06981,G,INSTALACIONES FOTOVOLTAICAS,2014,1S,"8,16"
FIEC06999,G,IDENTIF. DE PATR. DE ORIGEN MULTIMODAL EN DISP. DE HARDWARE DE DESA. COMUNITARIO,2014,1S,"5,55"
FIEC07005,G,INSTRUMENTACIÓN CLÍNICA Y TELEMEDICINA,2014,1S,"8,72"
FIEC07013,G,MODELAMIENTO DE SISTEMAS,2014,1S,"7,92"
FIEC07021,G,DISEÑO E IMPLEMENTACIÓN DE APLICACIONES SS7 DE UNA RED CELULAR,2014,1S,"8,48"
FIEC07039,G,SISTEMAS DE ADMINISTRACIÓN DE CONTENIDOS CON CMS JOOMLA Y GOOGLE ANALYTICS,2014,1S,"8,92"
FIEC07047,G,MAT.GRAD.FUENTE DE ALIMENTACIÓN CONMUTADAS,2014,1S,"7,66"
FIMP01255,G,TALLER BÁSICO (B),2013,1S,"7,59"
FIMP01263,G,ESTÁTICA ,2013,1S,"6,39"
FIMP01271,G,DINÁMICA ,2013,1S,"6,46"
FIMP01297,G,TERMODINÁMICA I,2013,1S,"6,73"
FIMP01305,G,TERMODINÁMICA II,2013,1S,"7,09"
FIMP01321,G,TRANSFERENCIA DE CALOR I,2013,1S,"6,65"
FIMP01339,G,TRANSFERENCIA DE CALOR II,2013,1S,"6,83"
FIMP01347,G,REFRIGERACIÓN,2013,1S,"6,55"
FIMP01354,G,MOTORES DE COMBUSTIÓN INTERNA,2013,1S,"6,89"
FIMP01388,G,MECÁNICA DE FLUÍDOS I,2013,1S,"6,86"
FIMP01396,G,MECÁNICA DE FLUIDOS II,2013,1S,"6,82"
