CODIGOMATERIA,MATERIA_x,REPROBADOS,REGISTRADOS,TASA_RP,CLASIFMATERIA,MATERIA_y,ANIO,TERMINO,DIFICULTAD
ARQG2023,PROYECTOS DE INVESTIGACIÓN ARQUEOLÓGICA,5,45,"11,11",G,PROYECTOS DE INVESTIGACIÓN ARQUEOLÓGICA,2020,0S,"8,18"
ARQG2024,MATERIA INTEGRADORA EN ARQUEOLOGÍA,5,37,"13,51",T,MATERIA INTEGRADORA EN ARQUEOLOGÍA,2021,0S,"8,16"
ARQG2025,ARQUEOLOGÍA DEL ECUADOR II,12,75,"16,00",G,ARQUEOLOGÍA DEL ECUADOR II,2020,0S,"7,16"
ARQG2026,LABORATORIO DE ARQUEOLOGÍA II,0,32,"0,00",G,LABORATORIO DE ARQUEOLOGÍA II,2021,0S,"8,63"
ARQG2028,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL II,2,45,"4,44",G,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL II,2020,0S,"7,82"
ARQG2029,LABORATORIO DE ARQUEOLOGÍA I,1,38,"2,63",G,LABORATORIO DE ARQUEOLOGÍA I,2020,0S,"8,51"
ARQG2030,CAMPO DE ARQUEOLOGÍA I,2,52,"3,85",G,CAMPO DE ARQUEOLOGÍA I,2020,0S,"8,16"
ARQG2031,ARQUEOLOGÍA ANDINOAMERICANA,5,62,"8,06",G,ARQUEOLOGÍA ANDINOAMERICANA,2020,0S,"7,26"
ARQG2032,ARQUEOLOGÍA DE LAS TIERRAS BAJAS DE SUDAMÉRICA Y DEL CARIBE,0,41,"0,00",G,ARQUEOLOGÍA DE LAS TIERRAS BAJAS DE SUDAMÉRICA Y DEL CARIBE,2021,0S,"7,90"
ARQG2033,ARQUEOLOGÍA DEL ECUADOR I,16,120,"13,33",G,ARQUEOLOGÍA DEL ECUADOR I,2020,0S,"7,39"
ARQG2034,ARQUEOLOGÍA DEL VIEJO MUNDO,11,85,"12,94",G,ARQUEOLOGÍA DEL VIEJO MUNDO,2020,0S,"7,32"
ARQG2035,ARQUEOLOGÍA SOCIAL LATINOAMERICANA,6,87,"6,90",G,ARQUEOLOGÍA SOCIAL LATINOAMERICANA,2020,0S,"7,62"
ARQG2036,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL I,2,54,"3,70",G,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL I,2020,0S,"7,69"
ARQG2037,ORÍGENES DE LOS ESTADOS PREHISPÁNICOS,2,48,"4,17",G,ORÍGENES DE LOS ESTADOS PREHISPÁNICOS,2020,0S,"8,32"
ARQG2038,PRIMER POBLAMIENTO AMERICANO,21,77,"27,27",G,PRIMER POBLAMIENTO AMERICANO,2020,0S,"6,64"
ARQG2039,TEORÍA ANTROPOLÓGICA Y ARQUEOLÓGICA,12,97,"12,37",G,TEORÍA ANTROPOLÓGICA Y ARQUEOLÓGICA,2020,0S,"7,19"
ARQG2040,GEOMÁTICA,11,89,"12,36",G,GEOMÁTICA,2020,0S,"7,65"
ARQG2041,GEOGRAFÍA FÍSICA,42,612,"6,86",G,GEOGRAFÍA FÍSICA,2020,0S,"7,84"
ARQG2042,INTRODUCCIÓN A LA ANTROPOLOGÍA Y ARQUEOLOGÍA,36,610,"5,90",G,INTRODUCCIÓN A LA ANTROPOLOGÍA Y ARQUEOLOGÍA,2020,0S,"7,84"
ARQG2043,CAMPO DE ARQUEOLOGÍA II,0,40,"0,00",G,CAMPO DE ARQUEOLOGÍA II,2020,0S,"8,63"
ARTG2023,ARTE Y CIENCIA,31,934,"3,32",G,ARTE Y CIENCIA,2020,0S,"8,55"
ARTG2024,ARTE Y TECNOLOGÍA,27,1178,"2,29",G,ARTE Y TECNOLOGÍA,2020,0S,"8,55"
ARTG2025,DIBUJO  I,108,1478,"7,31",G,DIBUJO  I,2020,0S,"8,00"
ARTG2026,DIBUJO II,226,1413,"15,99",G,DIBUJO II,2020,0S,"7,29"
ARTG2028,HISTORIA DEL ARTE,55,1060,"5,19",G,HISTORIA DEL ARTE,2020,0S,"7,88"
ARTG2029,HISTORIA DEL CINE,71,436,"16,28",G,HISTORIA DEL CINE,2020,0S,"7,12"
ARTG2030,INVESTIGACIÓN AUDIOVISUAL,19,391,"4,86",G,INVESTIGACIÓN AUDIOVISUAL,2020,0S,"7,88"
ARTG2032,TALLER DE ILUSTRACIÓN,13,364,"3,57",G,TALLER DE ILUSTRACIÓN,2021,0S,"8,23"
ARTG2033,TÉCNICAS PICTÓRICAS,37,533,"6,94",G,TÉCNICAS PICTÓRICAS,2020,0S,"8,26"
AUDG2026,AUDITORÍA DE SISTEMAS INTEGRADOS,1,398,"0,25",G,AUDITORÍA DE SISTEMAS INTEGRADOS,2020,0S,"9,67"
AUDG2027,AUDITORÍA FINANCIERA I,8,409,"1,96",G,AUDITORÍA FINANCIERA I,2020,0S,"8,78"
AUDG2028,AUDITORÍA FINANCIERA II,9,421,"2,14",G,AUDITORÍA FINANCIERA II,2020,0S,"8,22"
AUDG2030,AUDITORÍA OPERACIONAL,11,392,"2,81",G,AUDITORÍA OPERACIONAL,2020,0S,"7,80"
AUDG2032,CONTABILIDAD AVANZADA,17,572,"2,97",G,CONTABILIDAD AVANZADA,2020,0S,"7,30"
AUDG2033,CONTABILIDAD DE COSTOS,10,802,"1,25",G,CONTABILIDAD DE COSTOS,2020,0S,"8,51"
AUDG2034,CONTABILIDAD FINANCIERA,130,1700,"7,65",G,CONTABILIDAD FINANCIERA,2020,0S,"7,89"
AUDG2035,CONTABILIDAD I,17,594,"2,86",G,CONTABILIDAD I,2020,0S,"8,68"
AUDG2036,CONTABILIDAD II,24,594,"4,04",G,CONTABILIDAD II,2020,0S,"8,12"
AUDG2037,CONTABILIDAD III,33,643,"5,13",G,CONTABILIDAD III,2020,0S,"7,28"
AUDG2038,CONTROL INTERNO,1,311,"0,32",G,CONTROL INTERNO,2021,0S,"9,17"
AUDG2039,FUNDAMENTOS DE AUDITORÍA,14,604,"2,32",G,FUNDAMENTOS DE AUDITORÍA,2020,0S,"8,34"
AUDG2040,MATERIA INTEGRADORA DE AUDITORÍA Y CONTROL DE GESTIÓN,9,412,"2,18",T,MATERIA INTEGRADORA DE AUDITORÍA Y CONTROL DE GESTIÓN,2020,0S,"9,53"
AUDG2041,PRÁCTICA TRIBUTARIA,3,431,"0,70",G,PRÁCTICA TRIBUTARIA,2020,0S,"8,62"
AUDG2042,SISTEMAS DE CONTROL DE GESTIÓN,0,448,"0,00",G,SISTEMAS DE CONTROL DE GESTIÓN,2020,0S,"9,64"
AUDG2043,INTRODUCCIÓN A LAS TÉCNICAS DE AUDITORÍA,16,473,"3,38",G,INTRODUCCIÓN A LAS TÉCNICAS DE AUDITORÍA,2020,0S,"8,37"
AUDG2044,GESTIÓN DE LA PRODUCTIVIDAD,4,349,"1,15",G,GESTIÓN DE LA PRODUCTIVIDAD,2020,0S,"8,53"
BIOG1021,BIOLOGÍA CELULAR Y MOLECULAR,19,629,"3,02",G,BIOLOGÍA CELULAR Y MOLECULAR,2020,0S,"8,21"
BIOG1022,BIOLOGÍA GENERAL,21,1158,"1,81",G,BIOLOGÍA GENERAL,2020,0S,"8,25"
BIOG1023,FISIOLOGÍA ANIMAL,0,103,"0,00",G,FISIOLOGÍA ANIMAL,2021,0S,"8,29"
BIOG1024,BIOQUÍMICA,14,715,"1,96",G,BIOQUÍMICA,2020,0S,"8,42"
